STATEFIPS,STATE,zipcode,agi_stub,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N05800,A05800,N09600,A09600,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N06500,A06500,N10300,A10300,N85330,A85330,N85300,A85300,N11901,A11901,N11902,A11902
37,NC,27013,6,20,0,20,0,20,60,0,9954,20,10406,20,3422,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1276,9748,20,657,0,0,20,70,20,732,0,0,20,167,20,8516,20,2426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2692,0,0,0,0,0,0,0,0,20,2420,20,2520,0,0,0,0,0,0,0,0
37,NC,27016,1,270,160,60,40,170,390,110,3262,270,3417,160,1954,90,151,30,21,50,25,0,0,50,291,30,113,50,275,50,592,20,40,131,20,55,20,544,60,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,284,278,0,0,0,0,0,0,20,34,0,0,30,69,110,538,100,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,56,230,484,90,214,70,172,50,66,0,0,90,51,130,109,0,0,0,0,30,27,210,402
37,NC,27016,2,200,80,90,40,140,420,130,7454,200,7522,180,5992,70,20,20,13,0,0,40,26,30,283,20,63,0,0,40,718,30,0,0,40,252,0,0,40,67,20,6,0,0,0,0,0,0,20,23,0,0,0,0,30,368,1100,40,68,0,0,40,40,30,92,30,127,0,0,200,3820,200,454,0,0,100,66,0,0,0,0,0,0,60,8,50,43,0,0,20,38,200,798,40,78,40,64,30,35,0,0,170,391,180,430,0,0,0,0,20,24,180,389
37,NC,27016,3,110,30,80,0,80,280,80,7077,110,7118,100,5507,50,18,30,41,40,35,20,23,40,72,30,29,20,269,40,759,0,20,59,40,657,0,0,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,428,1723,30,119,0,0,30,41,30,166,20,148,20,79,110,4577,110,609,0,0,50,70,0,0,0,0,40,43,0,0,40,53,0,0,20,21,110,769,0,0,0,0,0,0,40,35,110,539,110,565,0,0,0,0,20,32,90,236
37,NC,27016,4,70,0,60,0,40,180,50,5801,70,5877,60,4590,30,9,30,32,0,0,30,24,0,0,40,60,0,0,30,953,20,0,0,0,0,0,0,40,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,526,2500,30,136,0,0,30,39,30,180,30,154,20,64,70,4123,70,565,0,0,50,77,0,0,0,0,0,0,0,0,40,46,0,0,0,0,70,678,0,0,0,0,0,0,0,0,70,515,70,568,0,0,0,0,20,101,60,169
37,NC,27016,5,40,0,40,0,30,110,40,5226,40,5073,40,3427,30,19,0,0,20,15,20,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,565,3993,30,206,0,0,30,45,30,256,20,179,30,86,40,4072,40,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,663,0,0,0,0,0,0,0,0,40,677,40,669,0,0,0,0,0,0,20,83
37,NC,27016,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,NC,27017,1,1670,820,420,390,1030,3150,1250,22006,1670,22442,1290,16212,260,181,80,97,70,51,50,38,300,2450,100,124,110,654,210,1803,40,120,489,70,109,30,155,320,437,0,0,0,0,30,161,0,0,0,0,0,0,0,0,80,1053,1295,50,59,0,0,60,83,80,164,40,211,50,118,590,3341,580,348,0,0,180,48,0,0,0,0,20,10,80,14,70,20,0,0,280,417,1530,3686,610,1599,550,1353,520,730,50,34,470,300,740,726,0,0,0,0,130,113,1440,3068
37,NC,27017,2,950,280,480,160,600,2330,900,33833,950,34158,840,27573,230,185,70,87,70,73,90,86,150,983,70,146,80,710,180,2933,40,80,374,180,1040,20,81,160,324,0,0,0,0,30,214,0,0,40,28,0,0,0,0,160,2541,6357,140,278,40,28,140,164,160,491,120,636,130,439,890,14596,880,1706,0,0,450,342,30,0,40,16,40,30,180,36,290,247,40,13,110,227,930,3794,260,539,210,436,250,428,30,21,660,1365,730,1625,0,0,0,0,110,160,830,2328
37,NC,27017,3,470,60,380,40,340,1290,430,29114,470,29423,420,22466,200,215,70,231,60,173,130,128,100,902,80,433,50,546,120,2872,50,40,194,110,1566,40,212,130,309,50,12,0,0,0,0,40,161,30,23,0,0,0,0,160,2683,9631,140,486,30,31,140,212,160,737,130,764,130,471,470,17694,470,2270,0,0,260,365,0,0,30,14,30,36,50,8,180,279,30,7,70,173,470,2810,0,0,0,0,30,40,30,19,440,1905,450,2101,0,0,0,0,110,232,350,918
